"data","label"
"Rất tệ mới mua được 3 tháng giờ nó cà giật","0"
"Ok","1"
"Tôi mới mua 25/5/2024 tới giờ chưa thấy lỗi gì","1"
"Hình ảnh nét, chất lượng tốt","1"
"Sử dụng tốt ạ","1"
"Ok","1"
"Mới lắp đặt ngày 07.03.2024. Mẫu mã đẹp sang trọng. Hình ảnh đẹp sắc nét. Nhân viên vui vẻ nhiệt tình tư vấn sử dụng sản phẩm.","1"
"Oke","1"
"Hiện tại dùng ổn, chưa thấy lỗi gì","1"
"Tivi mua 2 tháng , màn phía trong màu trắng tự nhiên bị nứt xước đường chéo màn hình . Gọi bảo hành , xuông kiểm tra xong báo k chịu bảo hành vết xước đó . Trong khi cái màn nó nằm phía trong giữa tivi thì làm sao có ai đụng chạm hay tác động vào được . Tivi mới mua 2 tháng cũng it sử dụng mà bị như vậy gọi bảo hành lại k chấp nhận . Tết nhất tới nơi mà chán chả buồn nói","0"
"Ti vi đẹp nhưng phần tìm kiếm hỗ trợ giọng nói quá chán. Hình như không thể sử dụng được. Nên có người muốn mua sản phẩm của sam sung cũng không dám giới thiệu cho bạn bè","0"
"Sai tôt ạ","1"
"Đẹp hình ảnh sắc nét","1"
"Rất tot","1"
"Hài Lòng.","1"
"Hiện chưa kết nối được K+ quà tặng","0"
"Ok","1"
"Ti vi dùng ok lắm nha","1"
"ok","1"
"Ok tivi tốt","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
